Char,Diag,wlen
Rachel," C'mon Daddy, listen to me! It's 

like, it's like, all of my life, everyone has always told me, 'You're a shoe! 

You're a shoe, you're a shoe, you're a shoe!'. And today I just stopped and I 

said, 'What if I don't wanna be a shoe? What if I wanna be a- a purse, y'know? 

Or a- or a hat! No, I'm not saying I want you to buy me a hat, I'm saying I am a 

ha- It's a metaphor, Daddy!",82
Rachel," Look Daddy, it's my life. Well 

maybe I'll just stay here with Monica. ",13
Monica," Well, I guess we've established 

who's staying here with Monica...",10
Rachel," Well, maybe that's my decision. 

Well, maybe I don't need your money. Wait!! Wait, I said maybe!!",17
Phoebe," (grins and walks to the kitchen 

and says to Chandler and Joey.) I helped!",14
Monica," Okay, look, this is probably for 

the best, y'know? Independence. Taking control of your life.  

The whole, 'hat' thing.",19
Joey," (comforting her) And hey, you need 

anything, you can always come to Joey. Me and Chandler live across the hall. And 

he's away a lot.",25
Monica," (to Ross) Are, are you okay? I 

mean, do you want me to stay?",14
Ross," (normal voice) No, go on! It's Paul 

the Wine Guy!",10
Phoebe," What does that 

mean?   Does he sell it, drink it, or just complain a lot? (Chandler doesn't 

know.)",18
Monica," Hi, come in! Paul, this is.. (They 

are all lined up next to the door.)... everybody, everybody, this is Paul.",20
Chandler," I'm sorry, I didn't catch your 

name. Paul, was it?",10
Monica," 
Okay, umm-umm, I'll just--I'll be right back, I 

just gotta go ah, go ah...",14
Phoebe," Ooh, I just pulled out four 

eyelashes. That can't be good.",11
Joey," Here's a little tip, 

she really likes it when you rub her neck in the same spot over and over and 

over again until it starts to get a little red.",31
Ross," So Rachel, what're you, uh... 

what're you up to tonight?",10
Rachel," Well, I was kinda supposed to be 

headed for Aruba on my honeymoon, so nothing!",15
Ross," Right, you're not even getting your 

honeymoon, God.. No, no, although, Aruba, this time of year... talk about your- 

(thinks) -big lizards... Anyway, if you don't feel like being alone tonight, 

Joey and Chandler are coming over to help me put together my new furniture.",45
Rachel," Well actually thanks, but I think 

I'm just gonna hang out here tonight.  

It's been kinda a long day.",19
Phoebe," Oh, I wish I could, but I don't 

want to.",10
Phoebe," (singing) Love is 

sweet as summer showers, love is a wondrous work of art, but your love oh your 

love, your love...is like a giant pigeon...crapping on my heart.  

La-la-la-la-la- (some guy gives her some change and to that guy) Thank you. 

(sings) La-la-la-la...ohhh!",44
Ross," (squatting and reading the 

instructions) I'm supposed to attach a brackety thing to the side things, using 

a bunch of these little worm guys. I have no brackety thing, I see no whim guys 

whatsoever and- I cannot feel my legs.",41
Chandler," I 

would have to say that is an 'L'-shaped bracket.",10
Ross," (clutching a beer can and sniffing) 

This was Carol's favorite beer. She always drank it out of the can, I should 

have known.",23
Joey," Hey-hey-hey-hey, if 

you're gonna start with that stuff we're outta here.",11
Joey," Ross, let me ask you a question. She 

got the furniture, the stereo, the good TV- what did you get?",20
Monica," My brother's going through that 

right now, he's such a mess. How did you get through it?",17
Monica," You actually broke her watch?  

Wow!  The worst thing I ever did was, I-I shredded by boyfriend's favorite bath 

towel.",20
Rachel," Barry, I'm sorry... I am so 

sorry... I know you probably think that this is all about what I said the other 

day about you making love with your socks on, but it isn't... it isn't, it's 

about me, and I ju- (She stops talking and dials the phone.) Hi, machine cut me 

off again... anyway...look, look, I know 

that some girl is going to be incredibly lucky to become Mrs. Barry Finkel, but 

it isn't me, it's not me.  And not that I have any idea who me is right now, but 

you just have to give me a chance too... (The maching cuts her off again and she 

redials.)",111
Chandler," You must stop! 

(Chandler hits what he is working on with a hammer and it collapses.)",16
Chandler," Look, Ross, you 

gotta understand, between us we haven't had a relationship that has lasted 

longer than a Mento.   You, however have had the love of a 

woman for four years.   Four years of closeness and sharing at the end of which 

she ripped your heart out, and that is why we don't do it!  I don't think that 

was my point!",62
Ross," You know what the scariest part is? 

What if there's only one woman for everybody, y'know? I mean what if you get one 

woman- and that's it? Unfortunately in my case, there was only one woman- for 

her...",38
Joey," What are you talking about? 'One 

woman'? That's like saying there's only one flavor of ice cream for you. Lemme 

tell you something, Ross. There's lots of flavors out there. There's Rocky Road, 

and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or 

nuts, or whipped cream! This is the best thing that ever happened to you! You 

got married, you were, like, what, eight? Welcome back to the world! Grab a 

spoon!",77
Monica," Yeah... yeah, I think there is. 

-What were you gonna say?",11
Monica," (spitting out her drink in shock) 

Oh God, oh God, I am sorry... I am so sorry...",17
Monica," I know being spit on is probably 

not what you need right now. Um... how long?",16
Ross," (scornful) Grab a spoon. Do you know 

how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a 

hero' mean anything to you? ",28
Joey," Great story!  But, I 

uh, I gotta go, I got a date with Andrea--Angela--Andrea...  Oh man, (looks to 

Chandler)",19
Ross," Y'know, here's the thing. Even if I 

could get it together enough to- to ask a woman out,... who am I gonna ask? (He 

gazes out of the window.)",29
Rachel," Isn't this amazing? I mean, I have 

never made coffee before in my entire life.",15
Rachel," Y'know, I figure 

if I can make coffee, there isn't anything I can't do.",14
Chandler," If can invade 

Poland, there isn't anything I can't do.",10
Joey," Listen, while you're on a roll, if 

you feel like you gotta make like a Western omelet or something... (Joey and 

Chandler taste the coffee, grimace, and pour it into a plant pot.) Although 

actually I'm really not that hungry...",40
Monica," (entering, to 

herself) Oh good, Lenny and Squigy are here.",10
Joey," That wasn't a real date?! What the 

hell do you do on a real date?",15
Chandler," All right, kids, I gotta get to 

work. If I don't input those numbers,... it doesn't make much of a difference...

",21
Monica," Yeah, we all have jobs. See, 

that's how we buy stuff.",11
Monica," Oh wait, wait, unless you happened 

to catch the Reruns' production of Pinocchio, 

at the little theater in the park.",20
Joey," I will not take this abuse. (Walks 

to the door and opens it to leave.)",15
Chandler," You're right, I'm sorry. (Burst 

into song and dances out of the door.) ""Once I was a wooden boy, a little 

wooden boy...""",23
Rachel," I can see that. You look like you 

slept with a hanger in your mouth.",15
Monica," I know, he's just so, so... Do you 

remember you and Tony DeMarco?",13
Monica," I think we are 

getting a little ahead of selves here. Okay. Okay. I am 

just going to get up, go to work and not think about him all day. Or else I'm 

just gonna get up and go to work.",41
Rachel," I'm gonna go get one of those 

(Thinks) job things.",10
Joey, (sitting on the arm of the couch)Of course it was a line! ,12
Monica," Why?! Why? Why, why would anybody do something like that? ",10
Ross," I assume we're looking for an answer more sophisticated than 'to 

get you into bed'. ",15
Phoebe," Oh no, don't hate, 

you don't want to put that out into the universe.",14
Monica," Is it me? Is it like I have some 

sort of beacon that only dogs and men with severe emotional problems can hear?

",23
Phoebe," All right, c'mere, gimme your feet. (She starts 

massaging them.) ",10
Joey," (bursts out laughing again) I can't believe you 

didn't know it was a line! ",14
Rachel," Are you kidding? I'm trained for nothing! I was 

laughed out of twelve interviews today. ",15
Rachel," You would be too if you found John and David 

boots on sale, fifty percent off! ",16
Rachel," They're my new 'I don't need a job, I don't 

need my parents, I've got great boots' boots! ",18
Rachel," Oh God, come on 

you guys, is this really necessary?  I mean, I can stop charging anytime I want.
",19
Monica," C'mon, you can't live off your parents your 

whole life. ",10
Phoebe," Give her a break, it's hard being on your own 

for the first time. ",14
Phoebe," You're welcome. I remember when I first came to 

this city. I was fourteen. My mom had just killed herself and my step-dad was 

back in prison, and I got here, and I didn't know anybody. And I ended up living 

with this albino guy who was, like, cleaning windshields outside port authority, 

and then he killed himself, and then I found aromatherapy. So believe me, I know 

exactly how you feel. ",72
Rachel," No.  No, no, I'm 

not ready!  How can I be ready?  ""Hey, Rach!  You ready to jump out the airplane 

without your parachute?""  Come on, I can't do this!",29
Ross," Come on, you made 

coffee!   You can do anything! (Chandler slowly tries to hide the now dead plant 

from that morning when he and Joey poured their coffee into it.)",30
Rachel," Y'know what?  I 

think we can just leave it at that.  It's kinda like a symbolic gesture...",17
Chandler," (as Rachel is 

cutting up her cards) Y'know, if you listen closely, you can hear a thousand 

retailers scream. ",19
Monica," Welcome to the real world! It 

sucks. You're gonna love it! ",11
Monica," Well, that's it (To Ross) You gonna crash on 

the couch? ",11
Rachel," Hey Mon, look what I just found on the floor. 

(Monica smiles.) What? ",13
Monica," That's Paul's watch. You just put it back where 

you found it. Oh boy. Alright. Goodnight, everybody. ",17
Ross," Mmm. (They both reach for the last cookie) Oh, 

no- ",10
Ross," Okay. (They split it.) You know you probably 

didn't know this, but back in high school, I had a, um, major crush on you.

",24
Ross," You did! Oh.... I always figured you just thought 

I was Monica's geeky older brother. ",15
Ross," Oh. Listen, do you think- and try not to let my 

intense vulnerability become any kind of a factor here- but do you think it 

would be okay if I asked you out? Sometime? Maybe? ",35
Ross," I just grabbed a spoon. (Ross exits and Monica 

has no idea what that means.) ",15
Monica," I said that you 

had a nice butt, it's just not a great butt.",14
Joey," Oh, you wouldn't 

know a great butt if it came up and bit ya.",14
Rachel," (walks up with a pot of coffee) Would anybody 

like more coffee? ",12
Chandler," Did you make it, or are you just serving it?

",10
Chandler," Kids, new dream... I'm in Las Vegas. 
(Rachel sits down to hear Chandler's dream.)",14
Rachel," Ugh. (To another customer 

that's leaving.) Excuse me, could you give this to that guy over there? (Hands 

him the coffee pot.) Go ahead. (He does so.) Thank you. (To the gang.) Sorry.  

Okay, Las Vegas.",36
Monica," What you guys don't understand is, for us, kissing is as 

important as any part of it. ",17
Rachel, Everything you need to know is in that first kiss. ,10
Chandler," Yeah, I think for us, kissing is pretty much like an opening 

act, y'know? I mean it's like the stand-up comedian you have to sit through 

before Pink Floyd comes out. ",31
Ross," Yeah, and-and it's not that we don't like the comedian, it's 

that-that... that's not why we bought the ticket. ",19
Chandler," The problem is, though, after the concert's over, no matter 

how great the show was, you girls are always looking for the comedian again, 

y'know? I mean, we're in the car, we're fighting traffic... basically just 

trying to stay awake. ",40
Ross," No, it's good, it is good, it's just that- mm- doesn't she seem 

a little angry? ",16
Ross," Marsha, these are cave people. Okay? They have issues like 'Gee, 

that glacier's getting kinda close.' See? ",17
Ross," Okay, okay, yes, it is. (waves) How about I'll, uh, catch up 

with you in the Ice Age. ",18
Ross," Hi. (Hugs Carol while holding one of the Cavemen’s mannequins 

arms)",11
Ross," Ah, well, in here, anyone who... stands erect... So what's new? 

Still, uh... ",13
Chandler," Oh, I think this is the episode of Three's Company where 

there's some kind of misunderstanding. ",16
Phoebe,...Then I've already seen this one! (Turns off the TV.) ,10
Monica, (taking a drink from Joey) Are you through with that? ,10
Chandler," Oh, uh, that would be mine. See, I wrote a note to myself, 

and then I realised I didn't need it, so I balled it up and... (sees that Monica 

is glaring at him) ...now I wish I was dead. ",40
Phoebe," She's already fluffed that pillow... Monica, you know, you've 

already fluffed that- (Monica glares at her.) -but, it's fine! ",19
Monica," Look , I'm sorry, guys, I just don't wanna give them any more 

ammunition than they already have. ",18
Chandler," Yes, and we all know how cruel a parent can be about the 

flatness of a child's pillow. ",18
Joey,"  

Would you relax? You do this every time they come. The place looks great. (sees 

a lasagna) You gotta beautiful lasagna here that looks good enough to…(about to 

touch it but Monica slaps his hands) avoid touching.  ",37
Phoebe," Monica- Hi! Um, Monica, you're scaring me. I mean, you're 

like, you're like all chaotic and twirly. And not-not in a good way. ",23
Joey," Yeah, calm down. You don't see Ross getting all chaotic and 

twirly every time they come. ",16
Monica," That's because as far as my parents are concerned, Ross can do 

no wrong. Y'see, he's the Prince. Apparently they had some big ceremony before I 

was born. ",28
Chandler," (looking out the window) Ew, ew, ew, ew ew ew ew ew! ",12
Rachel," Oh God, oh God, oh God oh God oh God oh God.... (Starts to 

look under the couch cushions.) ",19
Rachel," Oh, like I wasn't dreading tomorrow enough, having to give it 

back to him... 'Hi Barry! Remember me? I'm the girl in the veil who stomped on 

your heart in front of your entire family!' Oh God and now I'm gonna have to 

return the ring, without the ring, which makes it so much harder... ",55
Monica," 

It’s going to be ok. You’re going to give it back to him and it will all be 

over. And we’ll eat a lot of ice cream.",27
Monica," 

(interrupts) I’ll tell you what? Any diamond ring we find, we’ll run it by you.


",15
Rachel," I know I had it this morning, and I know I had it when I was 

in the kitchen with... ",20
Rachel," (looks at the lasagna and realizes something) Ohhhhh, don't be 

mad... ",11
Monica," I gave you one job! (Starts to examine the lasagna through the 

bottom of the glass pan.) ",17
Chandler," Now, Monica, you know that's not how you look for an 

engagement ring in a lasagna... ",16
Ross," Yeah. Do that for another two hours, you might be where I am 

right about now. (He enters.) ",18
Chandler," Kinda puts that whole pillow thing in perspective, huh, Mon?

",10
Rachel," Well now, how-how do you fit into this whole thing? ",10
Ross," Well, Carol says she and Susan want me to be involved, but if 

I'm not comfortable with it, I don't have to be involved.. basically it's 

entirely up to me. ",30
Chandler," I mean presumably, the biggest part of your job is done. ",11
Joey," And 

the most enjoyable. (only he laughs) Phoebe, say something!",10
Ross," 

Anyway, they want me to go down to this- sonogram thing with them tomorrow.


",14
Ross," Yeah, 

remember back when life was simpler and she was just a lesbian.",13
Ross," I have no idea. No matter what I do, though, I'm still gonna be 

a father. ",16
Monica," I'm sorry, why is this girl going to call me? ",10
Monica," No Mom, I don't have a restaurant, I work in a restaurant. ",12
Monica," Ross, could you come and help me with the spaghetti, please?

",11
Monica," I know this is going to sound unbelievably selfish, but, were 

you planning on bringing up the whole baby/lesbian thing? Because I think it 

might take some of the heat off me. ",32
Monica," (trying desperately to change the subject) So, Ross, what's 

going on with you? Any stories? (Digs her elbow into his hand.) No news, no 

little anecdotes to share with the folks? ",31
Ross," (pulls his hand away) Okay! Okay. (To his parents) Look, I, uh- 

I realise you guys have been wondering what exactly happened between Carol and 

me, and, so, well, here's the deal. Carol's a lesbian. She's living with a woman 

named Susan. She's pregnant with my child, and she and Susan are going to raise 

the baby. ",57
Ross," Well, y'know, these people are pros. They know what they're 

doing, they take their time, they get the job done. ",20
Monica," Boy, I know they say you can't change your parents,... boy, if 

you could- (To Ross) -I'd want yours. ",19
Phoebe," Yeah. We don't speak. She's like this high-powered, driven 

career type. ",11
Phoebe," 

Yeah people say we look a like but I don’t see it. ",12
Rachel," All right, you guys, I kinda gotta clean up now. (They all 

start to leave.) ",15
Monica," Chandler, you're an only child, right? You don't have any of 

this. ",12
Chandler," Well, no, although I did have an imaginary friend, who... my 

parents actually preferred. ",14
Rachel," Uh.. okay, sure! Thanks! (She hands him the broom and sits 

down.) ",12
Ross," Anyway.. um.. (Starts to sweep.) So, you- uh- you nervous about 

Barry tomorrow? ",13
Rachel," So, got any advice? Y'know, as someone who's recently been- 

dumped? ",11
Ross," Well, you may wanna steer clear of the word 'dumped'. Chances 

are he's gonna be this, this broken shell of a man, y'know, so you should try 

not to look too terrific, I know it'll be hard. Or, y'know, uh, hey!, I'll go 

down there, and I'll give Barry back his ring, and you can go with Carol and 

Susan to the OB/GYN... ",63
Rachel," Oh, you've got Carol tomorrow.. When did it get so 

complicated? ",11
Rachel," I mean, didn't you think you were just gonna meet someone, 

fall in love- and that'd be it? (Ross gazes at her.) ..Ross? ",23
Rachel," Oh! Man, I never thought I'd be here.. (She leans back onto 

his hand.) ",14
Ross," Me either... (He pulls up a stool so that he doesn't have to 

move his hand.) ",16
Ross," (entering) Sorry I'm late, I was stuck at work. There was this 

big dinosaur.. thing.. anyway. ",16
Ross," (they shake hands) Hello, Susan. (To Carol) Good shake. Good 

shake. So, uh, we're just waiting for...? ",17
Ross," -she, of course, she- uh- familiar with our.. special situation?

",10
Ross," Okay, that's great. (Susan gives her drink to Carol.) No, I'm- 

Oh.  ",12
Ross," (picks up a surgical instrument and mimes a duck with it) Quack, 

quack.. ",13
Ross," So, um- so how's this, uh, how's this 

all going to work? ",12
Ross," Thank 

you. I mean-I mean…how is
this going to work? Y'know, with us? Y'know, when, like, important 

decisions have to be made? 

",22
Ross," Well, uh, uh, I don't know, okay, okay, how about with the, uh, 

with the baby's name? ",17
Ross," Still, you- you say Minnie, you hear Mouse. Um, how about, um.. 

how about Julia? ",15
Ross," 'S'funny, um, uh, we agreed we'd spend the rest of our lives 

together. Things change, roll with the punches. I believe Julia's on the 

table..? ",25
Rachel," And you've got lenses! But you hate sticking your finger in 

your eye! ",13
Rachel," Anyway, um, (Gets the ring out of her purse.) I guess this 

belongs to you. Or…. hey maybe someday Mindy.",20
Rachel,"
(sarcastically laughs) Oh yeah. Yeah, yeah  

that’s true.  Umm, but I think it’s a-I think it’s a nice ring.  And 

thank you for giving it to me. ",27
Ross," Well, wait a minute, wha- why is she in the title? ",11
Ross," Oh, 's'funny, really? Um, I don't remember you making any sperm.

",11
Ross," No no no, she gets a credit, hey, I'm in there too. ",12
Ross," My way?! You-you think this is my way? Believe me, of all the 

ways I ever imagined this moment in my life being, this is not my way- y'know 

what? Uh, um, this is too hard. I'm not, I can't do- ",41
Ross," You- uh- y'know what, I'm gonna go. I don't- I don't think I can 

be involved in this particular thing right now. ",22
Chandler," I dunno, but.. I think it's about to attack the 

Enterprise. ",11
Phoebe," You know, if you tilt your head to the left, and relax your 

eyes, it kinda looks like an old potato. ",21
Ross," (walks over to where Monica is standing) Monica. Whaddya think?

",10
Rachel," (on phone) Hi, Mindy. Hi, it-it's Rachel. Yeah, I'm fine. I-I 

saw Barry today. Oh, yeah, yeah he-he told me. No, no, it's okay. I hope you two 

are very happy, I really do. Oh, oh, and Mind, y'know, if-if everything works 

out, and you guys end up getting married and having kids- and everything- I just 

hope they have his old hairline and your old nose. (Slams the phone down.) (To 

everyone) Okay, I know it was a cheap shot, but I feel so much 

better now. ",88
Phoebe," Um, not so good. He walked me to the subway and said 'We 

should do this again!' ",17
Rachel," What? He said 'we should do it again', that's good, right? ",11
Monica," Uh, no. Loosely translated 'We should do this again' means 

'You will never see me naked'. ",16
Joey," Since always. It's like dating language. Y'know, like 'It's not 

you' means 'It is you'. ",15
Chandler," Or 'You're such a nice guy' means 'I'm gonna be dating 

leather-wearing alcoholics and complaining about them to you'. ",19
Phoebe," Or, or, y'know, um, 'I think we should see other people' means 

'Ha, ha, I already am'. ",17
Chandler," Yeah, it's like when you're a kid, and your parents put your 

dog to sleep, and they tell you it went off to live on some farm. ",27
Ross," That's funny, that, no, because, uh, our parents actually did, 

uh, send our dog off to live on a farm. ",20
Ross," What? Wh- hello? The Millners' farm in Connecticut? The Millners, 

they had this unbelievable farm, they had horses, and, and rabbits that he could 

chase and it was- it w- .....Oh my God, Chi Chi! ",35
Chandler," ""So how does it feel knowing you're about to die?"" ",10
Joey," ""Warden, in five minutes my pain will be over. But you'll have 

to live with the knowledge that you sent an honest man to die."" ",25
Joey," ""I just wanna go back to my cell. 'Cause in my cell, I can 

smoke."" ",15
Chandler," I think this is probably why Damone smokes in his cell 

alone. ",12
Joey," No no no, I am not giving you a cigarette. ",10
Chandler," It's fine, it's fine. Look, do you wanna get this part, or 

not? Here. ",14
Chandler," Don't think of it as a cigarette. Think of it as the thing 

that's been missing from your hand. When you're holding it, you feel right. You 

feel complete. ",29
Chandler," Nah, not so much. Alright, now we smoke. (Takes a puff.) 

Oh.. my.. God. (He continues to smoke.) ",18
Joey," 

Chandler give me that. (starts chasing him into the kitchen)",10
Chandler," 

No no, you’ve got your options.  You can smoke it like this (demonstrates).


",13
Chandler," 

Or you can hold it in your mouth and smoke it like this (demonstrates).",14
Joey," 
Chandler, give me the cigarette. Give me it, give me 

it!",11
Chandler," 
That’s not bad. All right, now when you’re 

finished it’s really cool if you flick it. You kinda flick it. You flick it. 

(Joey does do) That’s good. Now you keep practicing and uh-I’ll go put out the 

sofa.",39
Chandler," 

 I thought it had to do with size of a guy’s feet.",12
Monica," No, no, no. They say it's the same as the distance from the 

tip of a guy's thumb to the tip of his index finger. ",25
Chandler," 

(comparing the size of his foot with his stretched fingers) I’m going to go with 

the foot theory.",18
Rachel," (carrying a tray of drinks) Alright, don't tell me, don't tell 

me! (Starts handing them out.) Decaf cappucino for Joey.. Coffee black.. Late.. 

And an iced tea. I'm getting pretty good at this! ",33
Phoebe," Yeah- no- I'm just- it's, I haven't worked- It's my bank. ",11
Phoebe," It's nothing, it's just- Okay. I'm going through my mail, and 

I open up their monthly, you know, STATEMENT- ",19
Phoebe, - and there's five hundred extra dollars in my account. ,10
Phoebe," Yes, 'cause now I have to go down there, and deal with them.

",13
Phoebe," It's not mine, I didn't earn it, if I kept it, it would be 

like stealing. ",16
Rachel," Yeah, but if you spent it, it would be like shopping! ",11
Phoebe," Okay. Okay, let's say I bought a really great pair of shoes. 

Do you know what I'd hear, with every step I took? 'Not-mine. Not-mine. 

Not-mine.' And even if I was happy, okay, and, and skipping- 'Not-not-mine, 

not-not-mine, not-not-mine, not-not-mine'... ",40
Phoebe," Okay. I'd- just- I'd never be able to enjoy it. It would be 

like this giant karmic debt. ",18
Phoebe," Oh, I can't believe you! You've been so good, for three years!

",12
Ross," Hold on a second, alright? Just think about what you went 

through the last time you quit. Nah you know what? 

Forget about you! Think about what we went through the last time you quit.


",35
Chandler," All right! I'm putting it out, I'm putting it out. (He drops 

it in Phoebe's coffee.) ",16
Monica," 'S'going pretty good, y'know? It's nice, and, we're having 

fun. ",10
Chandler," What are you talking about? We love Schhteve! Schhteve was 

schhexy!.. Sorry. ",12
Monica," Look, I don't even know how I feel about him yet. Just give me 

a chance to figure that out. ",20
Monica," I mean, why should I let them meet him? I mean, I bring a guy 

home, and within five minutes they're all over him. I mean, they're like- 

coyotes, picking off the weak members of the herd. ",37
Monica," I know. I just wish that once, I'd bring a guy home that they 

actually liked. ",16
Monica," I 

know. I know!  You mind if I whimper a little bit?",12
Monica, (shouts to Chandler) Chandler? Do you promise to be good? ,10
Joey," You can come in, but your filter-tipped little buddy has to stay 

outside! ",13
Phoebe," 'Dear Ms. Buffay. Thank you for calling attention to our 

error. We have credited your account with five hundred dollars. We're sorry for 

the inconvenience, and hope you'll accept this- (Searches in her purse) -football 

phone as our free gift.' Do you believe this?! Now I have a thousand 

dollars, and a football phone! ",54
Monica," (to all) Okay, please be good, please. Just remember 

how much you all like me. ",15
Monica," (to Alan) Thanks. I'll call you tomorrow. (Alan exits, to all) 

Okay. Okay, let's let the Alan-bashing begin. Who's gonna take the first shot, 

hmm? ",25
Ross," ...I'll go. Let's start with the way he kept picking at- no, I'm 

sorry, I can't do this, can't do this. We loved him. ",24
Monica," Wait a minute! We're talking about someone that I'm 

going out with? ",12
Chandler," I 

will never look at an olive the same way again.",11
Rachel," And did you notice...? (She spreads her thumb and index 

finger.) ",11
Joey, Know what was great? The way his smile was kinda crooked. ,11
Phoebe," From the nursery rhyme. 'There was a crooked man, Who had a 

crooked smile, Who lived in a shoe, For a... while...' ",22
Ross," ...So I think Alan will become the yardstick against which all 

future boyfriends will be measured. ",16
Rachel," What future boyfriends? Nono, I th- I think this could be, 

y'know, it. ",13
Chandler," Oh, yeah. I'd marry him just for his David Hasselhof 

impression alone. You know I'm gonna be doing that at parties, right? (Does the 

impression) ",25
Ross," He was unbelievable. He was like that-that-that Bugs Bunny 

cartoon where Bugs is playing all the positions, right, but instead of Bugs it 

was first base-Alan, second base-Alan, third base-... ",30
Rachel," I mean, it-it was like, it was like he made us into a team.

",14
Chandler," Yep, we sure showed those Hassidic jewelers a thing or two 

about softball.. ",13
Monica," Can I ask you guys a question? D'you ever think that Alan is 

maybe.. sometimes.. ",15
Rachel," Well, no. That's impossible. You can never be too Alan. ",10
Phoebe," Yes. But I left in the Ys. 'Cause, y'know, ""sometimes y"". Uh, 

I also have something else for you. (She searches in her purse.) ",24
Phoebe," No, but would you like a thousand dollars and a football 

phone? ",12
Phoebe," No, I want you to have it. I don't want it. ",11
Phoebe," Okay, alright, you buy me a soda, and then we're even. Okay?

",12
Phoebe," I know! I know, I opened it up and there it was, just floating 

in there, like this tiny little hitch-hiker! ",21
Chandler," Well, maybe it's a contest, y'know? Like, collect all five?

",10
Chandler," So I have a flaw! Big deal! Like Joey's constant 

knuckle-cracking isn't annoying? And Ross, with his over-pronouncing every 

single word? And Monica, with that snort when she laughs? I mean, what the hell 

is that thing? ...I accept all those flaws, why can't you accept me for this?

",49
Joey," Well, is it, like, a little annoying, or is it like when Phoebe 

chews her hair? ",16
Ross," Oh, now, don't listen to him, Pheebs, I think it's endearing.

",11
Rachel," ""Indeed there isn't""... I should really get back to work. ",10
Phoebe," Yeah, 'cause otherwise someone might get what they actually 

ordered. ",10
Rachel," Ohh-ho-hooohhh. The hair comes out, and the gloves come on.

",10
Monica," Did you ever go out with a guy your friends all really like?

",13
Monica," Okay.. Well, I'm going out with a guy my friends all really 

like. ",13
Monica," Can you believe it? ...Y'know what? I just don't feel the 

thing. I mean, they feel the thing, I don't feel the thing. ",23
Monica," No, he'll be fine. It's the other five I'm worried about. ",11
Chandler," Hey, y'know, I have had it with you guys and your cancer and 

your emphysema and your heart disease. The bottom line is, smoking is cool, and 

you know it. ",30
Rachel," (holding the phone out to Chandler) Chandler? It's Alan, he 

wants to speak to you. ",15
Chandler," Really? He does? (taking the phone) Hey, buddy, what's up! 

Oh, she told you about that, huh. Well, yeah, I have one now and then. Well, 

yeah, now. Well, it's not that big- ..well, that's true,.. Gee, y'know, no-one- 

no-one's ever put it like that before. Well, okay, thanks! (He hands the phone 

back and stubs out his cigarette.) ",59
Chandler," Ooh, Lambchop. How old is that sock? If I had a sock on my 

hand for thirty years it'd be talking too. ",22
Ross," Okay. I think it's time to change somebody's nicotine patch. 

(Does so.) ",12
Chandler," Joey ate my last stick of gum, so I killed him. Do you think 

that was wrong? ",17
Ross," Hey Pheebs, you gonna have the rest of that Pop-Tart?.. Pheebs?

",11
Phoebe," Sorry. ..Y'know, those stupid soda people gave me seven 

thousand dollars for the thumb. ",14
